Name,Lead_Score,Pain_Score,Advice,Emails,Socials,Website_Status,Issues,Tech_Stack,Rating,Reviews,Website,Phone,Address,id,Tags,Vibes,Package_Name,Package_Price,Package_Includes
Street Cafe Food Truck,198.2,,Traffic Waste: 244 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.6,244,,+27 76 841 0469,"1km from Camps Bay, towards, Hout Bay, Cape Town, 8005, South Africa",86569273,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Village Coffee Shop,197.3,,Traffic Waste: 215 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.6,215,,+27 61 616 2791,"17 M E Rothman St, Parow North, Cape Town, 7500, South Africa",49fa0f2d,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Halō Coffee,196.7,,Traffic Waste: 109 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.8,109,,+27 83 297 3971,"In the foyer of, 117 Strand St, Cape Town City Centre, Cape Town, 8001, South Africa",ccf410d2,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Soul Café,194.7,,Traffic Waste: 147 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.6,147,,,"98 Beach Rd, Strand, Cape Town, 7140, South Africa",beb192ab,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
HeBrews Strand,192.6,,General Upgrade: 'Modernize digital presence'.,,,Missing,,,4.7,83,,+27 72 776 9271,"Shop 3, CBD, Vanbro Building, 28 Michau St, Strand, Cape Town, 7140, South Africa",ba789ad8,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Vista Cafe,185.7,,Traffic Waste: 139 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.2,139,,+27 21 425 3631,"44 Hertzog Blvd, Foreshore, Cape Town, 8001, South Africa",7536b817,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Slurp Noodle Bar,184.5,,General Upgrade: 'Modernize digital presence'.,,,Missing,,,4.4,56,,+27 69 191 1202,"Shop 6, Simonsplein Centre, Plein St, Stellenbosch Central, Stellenbosch, 7600, South Africa",d51ecf65,"['No Website', 'No Socials', 'Hidden Gem']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Casa Cerveza.,182.4,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | Traffic Waste: 466 reviews but NO website. Pitch: 'Capture direct bookings'. | High Value: Mentions function, event, estate. Pitch: 'Premium clients expect a premium digital experience'.",info@casacerveza.co.za,"Instagram, Facebook",Found by Scout,"Website Missing on Maps (Found: casacerveza.co.za), Slow Server (TTFB 21.94s)","Google Analytics, Twitter Bootstrap",4.4,466,http://casacerveza.co.za,+27 81 764 9215,"54 Dorp Street Corner Dorp &, Black Horse Center, Mark St, Stellenbosch Central, Stellenbosch, 7600, South Africa",9ed4b2a4,"['No Website', 'Slow Load', 'Luxury']",['Event Venue'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
'N Ice,164.8,,"Traffic Waste: 452 reviews but NO website. Pitch: 'Capture direct bookings'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'.",,,Found by Scout,Website Missing on Maps (Found: nice.co.za),,4.5,452,http://nice.co.za,+27 21 854 5818,"142 Beach Rd, Strand, Cape Town, 7139, South Africa",6aec3c27,"['No Website', 'No Socials', 'Luxury']",['Event Venue'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
The Waffle Cafe,162.4,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,"SSL Invalid/Missing, Broken Link (Status 403)",,4.6,446,http://www.thewafflecafe.co.za/,+27 79 308 6895,"33 Beach Rd, Gordons Bay Central, Cape Town, 7140, South Africa",56ba1cb3,"['Site Down', 'Insecure', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Clos Malverne Restaurant,159.4,,"High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'. | Mobile: '50%+ of traffic bounces. We build mobile-first'.",,,Issues,"SSL Invalid/Missing, Not Mobile Friendly",,4.5,913,http://www.closmalvernerestaurant.co.za/,+27 21 865 2022,"Devon Valley Rd, Stellenbosch, 7600, South Africa",7f7cde71,"['Desktop Only', 'Insecure', 'No Socials', 'High Budget', 'Luxury']","['Premium/Luxury', 'Event Venue']",The Modern Refresh,"R 5,500","Mobile-First Redesign, Speed Optimization, Social Integration"
xpresso cafe,158.7,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | Traffic Waste: 194 reviews but NO website. Pitch: 'Capture direct bookings'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'.","work@xpressocafe.co.za, orders@xpressocafe.co.za, info@xpressocafe.co.za","Facebook, Instagram",Found by Scout,"Website Missing on Maps (Found: xpressocafe.co.za), Slow Server (TTFB 7.39s)","Google Analytics, WordPress, WooCommerce",3.6,194,http://xpressocafe.co.za,+27 21 551 0548,"Unnamed Road, Century City, Cape Town, 7446, South Africa",38df8feb,"['No Website', 'Slow Load', 'Luxury']","['Event Venue', 'Cozy/Casual']",The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Cavalli Estate,147.0,"Pain: 30, Pop: 52, Budget: 65","Marketing Active: They track data. Pitch: 'Improve conversion rates'. | High Value: Mentions wedding, function, event. Pitch: 'Premium clients expect a premium digital experience'. | Refresh: 'Copyright is 2018. Modernize to match your brand'.",info@cavalliestate.com,"Instagram, Facebook, X/Twitter",Issues,Outdated (© 2018),"Facebook Pixel, Google Analytics, WordPress",4.6,1770,https://cavalliestate.com/,+27 21 855 3218,"Strand Rd, Somerset West, Cape Town, 7129, South Africa",76bb3a1d,,,,,
Man'oushe,144.2,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 403),,4.4,1430,http://manoushestellenbosch.com/,+27 21 886 7545,"14 Andringa St, Stellenbosch Central, Stellenbosch, 7600, South Africa",4e1a9cec,"['Site Down', 'No Socials']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Millhouse Kitchen,142.1,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 400),,4.3,1734,https://www.facebook.com/millhousekitchen/,+27 79 717 3799,"Lourensford Wine Estate, Helderberg Rural, Cape Town, 7135, South Africa",616ab6c2,"['Site Down', 'No Socials']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
REACH Cafe,142.0,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'. | Mobile: '50%+ of traffic bounces. We build mobile-first'.",info@reachcafe.co.za,,Issues,Not Mobile Friendly,"Facebook Pixel, Google Analytics",4.6,205,http://www.reachcafe.co.za/,+27 61 549 1922,"83 Janssens Avenue, Table View, Cape Town, 7439, South Africa",db49c056,"['Desktop Only', 'No Socials', 'Ads Active', 'Luxury']",['Event Venue'],The Modern Refresh,"R 5,500","Mobile-First Redesign, Speed Optimization, Social Integration"
Bohemia,140.1,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 400),,4.3,1208,http://www.facebook.com/bohemiaSTB,+27 21 007 1219,"Stellenbosch Central, Stellenbosch, 7600, South Africa",70ec3015,"['Site Down', 'No Socials']",['Energetic/Nightlife'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
De Akker,139.4,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 400),,4.3,1080,https://m.facebook.com/DeAkkerPub/,+27 76 042 8762,"90 Dorp St, Stellenbosch, Cape Town, 7600, South Africa",abc2c955,"['Site Down', 'No Socials']",['Energetic/Nightlife'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
The Kraal at Joostenberg Wine Estate,138.3,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 429),,4.8,134,http://joostenberg.co.za/the_kraal_restaurant/,+27 79 641 1320,"Joostenberg Wine Estate, Hoopenburg Road Muldersvlei, 7606, South Africa",dd7b1df7,"['Site Down', 'No Socials']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Timeless Coffee Shop,137.9,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 400),,4.3,824,https://www.facebook.com/Timeless.cafe.Strand,,"132 Beach Rd, Strand, Cape Town, 7140, South Africa",c6e13777,"['Site Down', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
K1Sushi,137.6,,General Upgrade: 'Modernize digital presence'.,,,Missing,,,4.8,34,,+27 74 554 6039,"Andringa St, Stellenbosch Central, Stellenbosch, 7600, South Africa",fd8b5a3e,"['No Website', 'No Socials']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Muscle Lounge,137.5,,General Upgrade: 'Modernize digital presence'.,,,Missing,,,4.9,28,,+27 76 720 1756,"Planet Fitness, 117 Strand St, Cape Town City Centre, Cape Town, 8001, South Africa",3597d92d,"['No Website', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Coffee Connect,136.2,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 400),,4.5,261,https://www.facebook.com/CoffeeConnectCafe/,+27 71 646 6525,"Shop 3, Grasso Building, 106 Beach Rd, Strand, Cape Town, 7140, South Africa",235123b2,"['Site Down', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Rome in a bite,135.6,,Traffic Waste: 691 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,3.9,691,,+27 21 886 5123,"7 Andringa St, Stellenbosch Central, Stellenbosch, 7600, South Africa",14eb781a,"['No Website', 'No Socials']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Bluebird Café.,135.3,"Pain: 100, Pop: 35, Budget: 0",Traffic Waste: 521 reviews but NO website. Pitch: 'Capture direct bookings instead of giving fees to UberEats/Booking platforms'.,,,Missing,No Website,,4.3,521,,,"R44, Stellenbosch NU, Stellenbosch, 7603, South Africa",06ed3cc6,,,,,
The Bean and Barrel @Bachelors,134.9,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 400),,4.5,211,https://www.facebook.com/profile.php?id=100084536407199&mibextid=ZbWKwL,+27 76 276 7556,"71 Beach Rd, Gordons Bay Central, Cape Town, 7151, South Africa",991f77db,"['Site Down', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Sea Foam Coffee,134.6,,General Upgrade: 'Modernize digital presence'.,,,Missing,,,5.0,17,,,"2326 The Strand, Galveston, TX 77550, USA",aa805cc0,"['No Website', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Garden Cafe,132.0,,General Upgrade: 'Modernize digital presence'.,,,Missing,,,4.4,37,,+27 82 783 7207,"8 Henry Vos Cl, Asla park, Cape Town, 7140, South Africa",1291249d,"['No Website', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
SMITTEN Burgers,131.7,,General Upgrade: 'Modernize digital presence'.,,,Missing,,,4.5,28,,+27 72 312 8001,"Summerhill Wines Stellenbosch R, 44 Klapmuts - Simondium Rd, Stellenbosch, Cape Town, 8005, South Africa",1a60d551,"['No Website', 'No Socials']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Gochu Gang Stellenbosch,131.4,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 400),,4.4,174,https://www.facebook.com/profile.php?id=100093054196932&mibextid=LQQJ4d,+27 21 001 8555,"Shop 38, 43 Andringa St, Stellenbosch Central, Stellenbosch, 7600, South Africa",8766cf15,"['Site Down', 'No Socials']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Bean Spoiled COFFEE,130.6,,General Upgrade: 'Modernize digital presence'.,,,Issues,Broken Link (Status 400),,5.0,34,https://www.facebook.com/beanspoiled,+27 76 875 6634,"Beach Rd, Strand, Cape Town, 7140, South Africa",501083ff,"['Site Down', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Chilli Bean Co.,130.1,,General Upgrade: 'Modernize digital presence'.,,,Missing,,,4.8,13,,+27 79 889 4643,"Beach Rd, Strand, Cape Town, 7151, South Africa",15e0620d,"['No Website', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Millstone Cafe,127.9,,General Upgrade: 'Modernize digital presence'.,,,Issues,Broken Link (Status 400),,4.5,72,https://www.facebook.com/MillstoneCoffeeCT,+27 72 301 2613,"80 Alexandra Rd, Oude Molen Village, Cape Town, 7405, South Africa",832e7550,"['Site Down', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Me time cafe,127.7,,General Upgrade: 'Modernize digital presence'.,,,Missing,,,4.7,11,,+27 72 317 2823,"Corner of Church and, Heinecke St, Strand, 7130, South Africa",269203ae,"['No Website', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Taishan Restaurant(Stellenbosch),123.8,,General Upgrade: 'Modernize digital presence'.,,,Issues,Broken Link (Status 400),,4.2,96,https://www.facebook.com/taishanstellenbosch,+27 21 883 8917,"ZA Cape Town Shop 6 Stellmark Centre, Andringa st and, Merriman Ave, Stellenbosch Central, Stellenbosch, 7600, South Africa",b48b929d,"['Site Down', 'No Socials']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Arizona Spur,123.4,,[CRITICAL] Site is DOWN. Pitch: 'Immediate fix needed'.,,,Issues,Broken Link (Status 404),,3.8,853,https://www.spursteakranches.com/za/restaurant/western-cape/stellenbosch/stellenbosch-central/arizona-spur?utm_source=google_maps&utm_medium=website_button&utm_campaign=SP&utm_content=SP,+27 21 886 4511,"Shop E201, Eikestad Mall, 43 Andringa St, Stellenbosch Central, Stellenbosch, 7600, South Africa",0b632492,"['Site Down', 'No Socials']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Grounded Cafe @ Strand Trading Post,119.1,,General Upgrade: 'Modernize digital presence'.,,,Issues,Broken Link (Status 400),,5.0,9,https://www.facebook.com/urcd.christianclothing?mibextid=ZbWKwL,+27 76 601 7482,"Cnr Main Road &, Aerodrome Rd, Strand, Cape Town, 7130, South Africa",9cb0783d,"['Site Down', 'No Socials']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Zevenwacht Restaurant,112.6,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions wedding, function, event. Pitch: 'Premium clients expect a premium digital experience'.","info@zevenwacht.co.za, wine-tasting@zevenwacht.co.za, restaurant@zevenwacht.co.za","Instagram, Facebook",Issues,Slow Server (TTFB 17.55s),"Google Analytics, WordPress, WooCommerce",4.5,1497,https://www.zevenwacht.co.za/,+27 21 900 5700,"Langverwacht Rd, Kuils River, Cape Town, 7579, South Africa",2bdcfb8f,"['Slow Load', 'High Budget', 'Luxury']","['Premium/Luxury', 'Event Venue']",Performance Marketing,"R 3,500 / mo","Conversion Rate Optimization (CRO), Landing Pages, Ad Management"
Le Pommier Restaurant,107.5,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions wedding, function, event. Pitch: 'Premium clients expect a premium digital experience'.",,"Instagram, Facebook, X/Twitter",Issues,Slow Server (TTFB 2.43s),"Facebook Pixel, Google Analytics, WordPress, WooCommerce",4.5,684,http://www.lepommier.co.za/,+27 21 885 1269,"Stellenbosch, 4800, South Africa",5a873830,"['Slow Load', 'Ads Active', 'Luxury']",['Event Venue'],Performance Marketing,"R 3,500 / mo","Conversion Rate Optimization (CRO), Landing Pages, Ad Management"
Pajamas and Jam eatery,102.6,,"Marketing Active: Tracks data. Pitch: 'Improve conversion rates with better UX'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'.",,"Facebook, Instagram",Good,,"Facebook Pixel, Google Analytics",4.6,3961,https://www.pajamasandjam.com/,+27 79 804 6813,"32 Van Zyl St, Strand, Cape Town, 7140, South Africa",74062ce0,"['Ads Active', 'Luxury']",['Event Venue'],Performance Marketing,"R 3,500 / mo","Conversion Rate Optimization (CRO), Landing Pages, Ad Management"
Kleine Zalze Restaurant,101.3,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions function, event, estate. Pitch: 'Premium clients expect a premium digital experience'.","restaurant@kleinezalze.co.za, sales@kleinezalze.co.za, quality@kleinezalze.co.za","Instagram, Facebook, X/Twitter",Issues,Slow Server (TTFB 41.71s),Google Analytics,4.5,263,http://www.kleinezalze.co.za/,+27 21 880 8167,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",41179965,"['Slow Load', 'High Budget', 'Luxury']","['Premium/Luxury', 'Event Venue']",Performance Marketing,"R 3,500 / mo","Conversion Rate Optimization (CRO), Landing Pages, Ad Management"
Piza ē Vino Stellenbosch,101.1,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'.",info@pizaevino.co.za,"Instagram, Facebook",Issues,Slow Server (TTFB 7.66s),"Facebook Pixel, Google Analytics, WordPress, Materialize CSS",4.2,1028,http://pizaevino.co.za/,+27 21 880 0051,"Kloof St, Jamestown, Stellenbosch, 7600, South Africa",7bb73b06,"['Slow Load', 'Ads Active', 'Luxury']",['Event Venue'],Performance Marketing,"R 3,500 / mo","Conversion Rate Optimization (CRO), Landing Pages, Ad Management"
KWIKSPAR Strand,101.0,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'.",managers@strandspar.co.za,Facebook,Issues,Slow Server (TTFB 4.10s),"Facebook Pixel, Google Analytics, Kentico CMS, Microsoft ASP.NET, Twitter Bootstrap",4.2,994,https://www.spar.co.za/Home/Store-View/KWIKSPAR-Strand-Western-Cape,+27 21 853 2095,"89 Broadway Blvd, Goede Hoop, Cape Town, 7140, South Africa",fb30a0a7,"['Slow Load', 'Ads Active', 'Luxury']",['Event Venue'],Performance Marketing,"R 3,500 / mo","Conversion Rate Optimization (CRO), Landing Pages, Ad Management"
SPAR Cinnamon Square,99.2,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions function, event, estate. Pitch: 'Premium clients expect a premium digital experience'.",,Facebook,Issues,Slow Server (TTFB 2.13s),"Facebook Pixel, Google Analytics, Kentico CMS, Microsoft ASP.NET, Twitter Bootstrap",4.1,1275,https://www.spar.co.za/Store-Finder,+27 21 850 8892,"Smokers Deli Branch3 Exotic parfumes, Rusthof Rd, Rusthof, Cape Town, 7140, South Africa",47ab1748,"['Slow Load', 'Ads Active', 'Luxury']",['Event Venue'],Performance Marketing,"R 3,500 / mo","Conversion Rate Optimization (CRO), Landing Pages, Ad Management"
Vendetta's Pizzeria,99.0,,"High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'.",5858info@vendettaspizzeria.co.za,"Instagram, Facebook",Issues,Slow Server (TTFB 3.03s),,4.8,3574,http://www.vendettas.co.za/,+27 67 185 5858,"15 Hamman St, Stellenbosch Central, Stellenbosch, 7600, South Africa",325565f3,"['Slow Load', 'Luxury']",['Event Venue'],Growth Retainer,"R 2,500 / mo","SEO Content, Monthly Reporting, Google Business Management"
The Poke Co.,98.9,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'.",,,Issues,Slow Server (TTFB 19.51s),"Google Analytics, Twitter Bootstrap, Google AdSense",4.8,275,https://mymenuweb.com/int/restaurants/2007565/?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,+27 21 569 9365,"27 Plein St, Stellenbosch Central, Stellenbosch, 7600, South Africa",a09cd2fa,"['Slow Load', 'No Socials', 'Luxury']","['Cozy/Casual', 'Event Venue']",Growth Retainer,"R 2,500 / mo","SEO Content, Monthly Reporting, Google Business Management"
vida e caffè Strand,98.2,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'.",feedback@caffe.co.za,"Facebook, X/Twitter, Instagram",Issues,Slow Server (TTFB 4.11s),"Facebook Pixel, Google Analytics, WordPress, WooCommerce",4.2,581,http://vidaecaffe.com/,+27 87 820 7722,"Unit 1, 97 On Strand, 97 Beach Rd, Strand, Cape Town, 7139, South Africa",4e353ca9,"['Slow Load', 'Ads Active', 'Luxury']","['Event Venue', 'Cozy/Casual']",Performance Marketing,"R 3,500 / mo","Conversion Rate Optimization (CRO), Landing Pages, Ad Management"
Mugg & Bean Strand,96.7,,"[HIGH VALUE] Running Ads but site is poor. Pitch: 'Stop wasting ad spend on a broken site'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'.",Africa+27213007298info@muggandbean.co.zaOperating,"Facebook, X/Twitter, Instagram",Issues,Slow Server (TTFB 2.62s),Google Analytics,4.8,748,https://locations.muggandbean.co.za/restaurants-StrandsigBuilding-MuggBeanStrand/?utm_source=google_maps&utm_medium=website_button&utm_campaign=SP&utm_content=SP,+27 21 300 7298,"Shop 1, Strandsig Building, 96 Beach Rd, Strand, Cape Town, 7139, South Africa",8dfba47d,"['Slow Load', 'Luxury']","['Event Venue', 'Cozy/Casual']",Growth Retainer,"R 2,500 / mo","SEO Content, Monthly Reporting, Google Business Management"
